50	30	41
1	41	5	578
1	41	5	578
2	41	2	245
2	41	2	245
3	8	30	603
4	37	4	354
4	37	4	354
4	37	4	354
5	16	13	313
5	16	13	313
5	16	13	313
6	7	30	243
6	7	30	243
6	7	30	243
7	7	6	100
8	18	11	486
9	37	6	394
10	10	15	255
10	10	15	255
11	35	4	358
11	35	4	358
12	45	5	591
12	45	5	591
13	2	30	153
13	2	30	153
14	14	22	828
14	14	22	828
14	14	22	828
15	29	11	340
16	33	7	395
16	33	7	395
16	33	7	395
17	48	3	333
18	14	2	30
18	14	2	30
19	9	30	536
19	9	30	536
19	9	30	536
20	11	10	148
20	11	10	148
20	11	10	148
