50	40	40
1	28	5	271
1	28	5	271
2	33	11	571
2	33	11	571
2	33	11	571
3	9	25	408
3	9	25	408
3	9	25	408
4	14	8	209
5	39	8	803
6	42	8	878
6	42	8	878
7	25	3	124
7	25	3	124
8	45	3	313
9	41	9	532
9	41	9	532
9	41	9	532
10	9	5	77
10	9	5	77
10	9	5	77
11	33	7	649
11	33	7	649
12	41	8	751
13	24	6	370
14	3	40	300
14	3	40	300
14	3	40	300
15	25	12	699
15	25	12	699
15	25	12	699
16	21	12	692
16	21	12	692
17	26	11	659
18	28	6	307
19	25	7	516
19	25	7	516
19	25	7	516
20	36	4	428
20	36	4	428
