100 100 61
1 48 48 5145 
2 6 85 874 
2 6 85 874 
3 100 14 2924 
4 17 85 3182 
5 69 20 2862 
6 12 72 1224 
7 5 48 531 
7 5 48 531 
7 5 48 531 
8 1 97 249 
8 1 97 249 
8 1 97 249 
9 66 36 6601 
9 66 36 6601 
10 15 53 1005 
11 29 80 6228 
11 29 80 6228 
11 29 80 6228 
12 19 77 3362 
13 97 7 907 
14 7 57 473 
14 7 57 473 
15 63 37 6137 
15 63 37 6137 
16 71 14 1556 
17 3 76 313 
17 3 76 313 
17 3 76 313 
18 34 54 4123 
19 5 91 581 
19 5 91 581 
20 14 87 1999 
21 62 28 5004 
21 62 28 5004 
21 62 28 5004 
22 6 7 2040 
22 6 7 2040 
22 6 7 2040 
23 20 71 3143 
24 92 7 795 
25 10 77 1460 
25 10 77 1460 
26 99 4 841 
26 99 4 841 
26 99 4 841 
27 14 44 1107 
27 14 44 1107 
28 100 2 280 
28 100 2 280 
28 100 2 280 
29 56 40 5898 
29 56 40 5898 
30 86 14 2096 
31 22 93 4411 
32 13 99 3456 
32 13 99 3456 
32 13 99 3456 
33 7 76 1406 
33 7 76 1406 
33 7 76 1406 
