40 70 62 
1 31 43 500 
1 31 43 500 
1 31 43 500 
1 31 43 500 
2 30 41 480 
2 30 41 480 
3 29 39 460 
3 29 39 460 
3 29 39 460 
3 29 39 460 
4 28 38 440 
4 28 38 440 
4 28 38 440 
4 28 38 440 
5 27 37 420 
5 27 37 420 
5 27 37 420 
6 26 36 410 
6 26 36 410 
6 26 36 410 
6 26 36 410 
7 25 35 400 
7 25 35 400 
7 25 35 400 
8 24 34 380 
8 24 34 380 
8 24 34 380 
8 24 34 380 
9 33 23 360 
9 33 23 360 
9 33 23 360 
9 33 23 360 
10 22 32 340 
10 22 32 340 
10 22 32 340 
11 31 21 320 
11 31 21 320 
11 31 21 320 
12 29 18 300 
12 29 18 300 
12 29 18 300 
13 17 27 280 
13 17 27 280 
14 15 24 240 
14 15 24 240 
15 16 25 260 
15 16 25 260 
15 16 25 260 
15 16 25 260 
16 15 24 240 
17 23 14 220 
17 23 14 220 
17 23 14 220 
17 23 14 220 
18 21 12 180 
18 21 12 180 
18 21 12 180 
19 19 11 160 
19 19 11 160 
19 19 11 160 
19 19 11 160 
20 9 17 140 
