100 100 96
1 8 81 953 
1 8 81 953 
1 8 81 953 
2 5 76 389 
2 5 76 389 
2 5 76 389 
2 5 76 389 
3 42 19 1668 
3 42 19 1668 
3 42 19 1668 
3 42 19 1668 
4 6 80 676 
4 6 80 676 
4 6 80 676 
4 6 80 676 
5 41 48 3580 
6 6 86 1416 
6 6 86 1416 
6 6 86 1416 
6 6 86 1416 
6 6 86 1416 
7 58 20 3166 
7 58 20 3166 
7 58 20 3166 
7 58 20 3166 
7 58 20 3166 
8 99 3 537 
8 99 3 537 
8 99 3 537 
8 99 3 537 
8 99 3 537 
9 9 52 1176 
9 9 52 1176 
9 9 52 1176 
9 9 52 1176 
9 9 52 1176 
10 100 14 3434 
10 100 14 3434 
10 100 14 3434 
10 100 14 3434 
11 7 53 676 
11 7 53 676 
11 7 53 676 
11 7 53 676 
12 24 54 1408 
13 23 77 2362 
14 42 32 4031 
14 42 32 4031 
14 42 32 4031 
14 42 32 4031 
14 42 32 4031 
15 17 30 1152 
15 17 30 1152 
15 17 30 1152 
15 17 30 1152 
15 17 30 1152 
16 11 90 2255 
16 11 90 2255 
16 11 90 2255 
16 11 90 2255 
17 26 65 3570 
17 26 65 3570 
18 11 84 1913 
18 11 84 1913 
18 11 84 1913 
19 100 11 1552 
20 29 81 4559 
21 10 64 713 
21 10 64 713 
22 25 48 1279 
23 17 93 3989 
23 17 93 3989 
23 17 93 3989 
23 17 93 3989 
24 77 31 4850 
25 3 71 299 
25 3 71 299 
25 3 71 299 
25 3 71 299 
25 3 71 299 
26 89 9 1577 
26 89 9 1577 
26 89 9 1577 
26 89 9 1577 
27 1 6 12 
27 1 6 12 
27 1 6 12 
27 1 6 12 
27 1 6 12 
28 12 99 2116 
28 12 99 2116 
29 21 26 1214 
29 21 26 1214 
29 21 26 1214 
29 21 26 1214 
29 21 26 1214 
