70 40 42
1 17 9 153 
2 11 19 209 
2 11 19 209 
2 11 19 209 
2 11 19 209 
3 12 21 252 
3 12 21 252 
3 12 21 252 
4 14 23 322 
4 14 23 322 
4 14 23 322 
4 14 23 322 
5 24 15 360 
5 24 15 360 
5 24 15 360 
6 25 16 400 
6 25 16 400 
6 25 16 400 
6 25 16 400 
7 27 17 459 
7 27 17 459 
8 18 29 522 
8 18 29 522 
8 18 29 522 
9 21 31 651 
9 21 31 651 
9 21 31 651 
10 32 22 704 
10 32 22 704 
11 23 33 759 
11 23 33 759 
11 23 33 759 
12 34 24 816 
12 34 24 816 
12 35 25 875 
12 35 25 875 
13 36 26 936 
14 37 27 999 
15 38 28 1064 
16 39 29 1131 
17 41 30 1230 
18 43 31 1333 
